line,title,description,category,cypher_examples,source_file,authority_level,quality_tier,review_status,reviewer_notes
262,Tuning GC algorithms,There are several Garbage Collection algorithms available in Java.,performance,,articles\modules\ROOT\pages\tuning-gc-algorithms.adoc,1,medium,,
263,java.lang.OutOfMemoryError: unable to create new native thread,"When a client application establishes a session with a Neo4j server via the bolt or bolt+routing protocols, the server allocates a thread",performance,,articles\modules\ROOT\pages\unable-to-create-new-native-thread.adoc,1,medium,,
264,Understanding aggregations on zero rows,Aggregations in Cypher can be tricky in some cases.,cypher,"MATCH (person:Person)
WHERE person.nonExistentProperty = 123
// after the WHERE, there are 0 rows
RETURN count(person) as count
// but when we apply the count(), we get a single row with 0 | MATCH (person:Person)
WHERE person.nonExistentProperty = 123
// after the WHERE, there are 0 rows
RETURN collect(person) as people
// but when we apply the collect(), we get a single row with []",articles\modules\ROOT\pages\understanding-aggregations-on-zero-rows.adoc,1,high,,
265,Understanding causal cluster quorum and cluster recovery,"Several major causal cluster operations require a majority of cluster members to be online, a majority quorum.",security,,articles\modules\ROOT\pages\understanding-causal-cluster-quorum-and-cluster-recovery.adoc,1,low,,
266,Understanding causal cluster size scaling,"The ability to safely scale down the size of a causal cluster affords us more robustness for instance failures, provided we maintain quorum as the failures take place.",security,,articles\modules\ROOT\pages\understanding-causal-cluster-size-scaling.adoc,1,low,,
267,Tuning Cypher queries by understanding cardinality,Cardinality issues are the most frequent culprit in slow or incorrect Cypher queries.,cypher,"MATCH (movie:Movie {title:'The Matrix'})<-[:ACTED_IN]-(actor) | MATCH (movie:Movie {title:'The Matrix'})<-[:ACTED_IN]-(actor)
MATCH (actor)-[:ACTED_IN]->(otherMovie)
...",articles\modules\ROOT\pages\understanding-cypher-cardinality.adoc,1,high,,
268,Understanding Neo4j's data on disk,Neo4j database files are persisted to storage for long term durability. Data related files located in data/databases/graph.db (v3.x+) by default in the Neo4j data directory. Below will give you an ide,performance,,articles\modules\ROOT\pages\understanding-data-on-disk.adoc,1,medium,,
269,Understanding Database Growth,The easiest way to determine the size of your graph is through the filesystem and summing up the size of the files named `\*store.db*`.,security,"USING PERIODIC COMMIT 50000
LOAD CSV WITH HEADERS FROM 'file:///person.csv' AS row
CREATE (:Person { id: row.id}  );",articles\modules\ROOT\pages\understanding-database-growth.adoc,1,high,,
270,Understanding how MERGE works,The `MERGE` clause ensures that a pattern exists in the graph.,cypher,"(:Student)-[:ENROLLED_IN]->(:Class)
(:Student)-[:EARNED]->(:ReportCard)
(:Class)-[:FOR_TERM]->(:Term) | MERGE (student:Student{id:123})-[:ENROLLED_IN]->(class:Class{name:'Cypher101'})",articles\modules\ROOT\pages\understanding-how-merge-works.adoc,1,high,,
271,Understanding logical logs and effects of parameters keep_logical_logs and logical_log_rotation_threshold,Neo4j maintains logical logs for incremental backup and cluster consistency.,security,,articles\modules\ROOT\pages\understanding-logical-logs-and-effects-of-parameters-keep-logical-logs-and-logical-log-rotation-threshold.adoc,1,low,,
272,Understanding memory configurations for neo4j-admin backup,When using https://neo4j.com/docs/operations-manual/current/backup/perform-backup/#backup-commands[`bin\neo4j-admin backup`] to backup,performance,,articles\modules\ROOT\pages\understanding-memory-configurations-for-neo4j-admin-backup.adoc,1,medium,,
273,Understanding memory consumption,"So you have configured Neo4j to use 4GB of heap and 6GB of page cache and sat back relaxed, thinking the Java process would not go above 10GB in your 12GB machine only to realise that Neo4j had an OOM",performance,,articles\modules\ROOT\pages\understanding-memory-consumption.adoc,1,medium,,
274,Understanding Neo4j Query Plan Caching,This article is based on the behavior of Neo4j 2.3.2.,cypher,,articles\modules\ROOT\pages\understanding-neo4j-query-plan-caching.adoc,1,medium,,
275,Understanding non-existent properties and working with nulls,"In Neo4j, since there is no table schema or equivalent to restrict possible properties, non-existence and null are equivalent for node and relationship properties.",cypher,"MATCH (p:Person)
WHERE p.id = $personId
RETURN NOT EXISTS(p.email) | MATCH (p:Person)
WHERE p.id = $personId
RETURN p.email IS NULL",articles\modules\ROOT\pages\understanding-non-existent-properties-and-null-values.adoc,1,high,,
276,Understanding the Query Plan Cache,When a Cypher statement is first submitted Neo4j will attempt to determine if the query is in the plan cache before planning it.,cypher,"match (n) return count(n);
MATCH (n) return COUNT(n); | MATCH (n) return COUNT(n);
MATCH (n) return      COUNT(n);

MATCH (n)
return COUNT(n);",articles\modules\ROOT\pages\understanding-the-query-plan-cache.adoc,1,high,,
277,Understanding transaction and lock timeouts,One way to handle runaway queries is to impose a time limit that will terminate a query when exceeded.,cypher,"CALL apoc.cypher.runTimeboxed(""MATCH (n:Person{name:'Keanu Reeves'})-[*]-(other)
 RETURN count(*) as allPathsCount"",
 {}, 20000)",articles\modules\ROOT\pages\understanding-transaction-and-lock-timeouts.adoc,1,high,,
278,Updating a node but returning its state from before the update,"Some use cases require updating node (or relationship) properties, but returning the node (or relationship) as it was prior to the update.",cypher,"MATCH (p:Person{name:'Keanu Reeves'})
WITH p, p {.*} as snapshot
SET p.name = 'The One'
RETURN snapshot | MATCH (p:Person{name:'Keanu Reeves'})
WITH p, p {.*, .lastUpdated} as snapshot
SET p.lastUpdated = TIMESTAMP()
RETURN snapshot",articles\modules\ROOT\pages\updating-a-node-but-returning-its-state-from-before-the-update.adoc,1,high,,
279,Upgrading your Causal Cluster from 3.1.x to 3.2.x,"This article outlines possible steps to upgrade your Neo4j 3.1.2+ Causal Cluster to 3.2.2. For this upgrade path, Neo4j does not support rolling upgrades, so downtime is required to complete the proce",security,,articles\modules\ROOT\pages\upgrading-causal-cluster.adoc,1,low,,
280,Upgrading to Neo4j 3.0 Enterprise Step-by-Step - Linux,Neo4j 3.0 is a major release that includes both a directory structure reorganization and a configuration file/parameter name overhaul.,security,,articles\modules\ROOT\pages\upgrading-to-neo4j-3-0-enterprise-step-by-step-linux.adoc,1,low,,
281,Upstream strategy behaviour change,"Starting with version 3.4, we changed in the behaviour of how instances sync with the Leader. This change can potentially affect the",security,,articles\modules\ROOT\pages\upstream-strategy-behaviour-change.adoc,1,medium,,
282,Use Java Runtime 11 with Neo4J 3.5.x,"Neo4j 3.5.x supports Java 11 as runtime, however custom code should still be compiled against Java 8.",security,,articles\modules\ROOT\pages\use-java-runtime-11-with-neo4j-3-5-x.adoc,1,low,,
283,Useful Cypher statements for suspending and reactivating users,Commencing with Neo4j 3.1 and implementaion of https://neo4j.com/docs/operations-manual/current/security/authentication-authorization/native-user-role-management/[native database users],cypher,"call dbms.security.listUsers() yield username, flags 
with username,flags 
where 'is_suspended' in flags
return username | // users with no  is_suspended flag and build the statement to activate the user and not force a password change
call dbms.security.listUsers() yield username, flags with username, flags 
where not 'is_suspended' in flags  
return 'call dbms.security.activateUser(\'' + username + '\',false);'",articles\modules\ROOT\pages\useful-cypher-statements-for-suspending-and-reactivating-users.adoc,1,high,,
284,Using apoc.load.jsonParams to load data from Zendesk into Neo4j to learn about article subscribers,The following document describes how to utilize the https://developer.zendesk.com/rest_api/docs/core/introduction[Zendesk API],security,"create index on :Section(id);
create index on :User(id);
create index on :Organization(id);

// get all sections
CALL apoc.load.jsonParams(""https://your_domain.zendesk.com/api/v2/help_center/sections.json"",{Authorization:""Basic base64Encoded_username:password""},null)
  yield value as sectionvalue
  with sectionvalue
  unwind sectionvalue.sections as section_item
    Merge (n:Section {id:section_item.id,name:section_item.name, created_at:section_item.created_at, updated_at:section_item.updated_at,url:section_item.html_url})
    with section_item.id as secid
    // foreach section then find the subscribers
    CALL apoc.load.jsonParams(""https://your_domain.zendesk.com/api/v2/help_center/sections/""+secid+""/subscriptions.json?per_page=200"",{Authorization:""Basic base64Encoded_username:password""},null)
       yield value as subscribervalue
       with subscribervalue, secid
       unwind subscribervalue.subscriptions as subscription_item
            // create the relationship from the User to the Secction through the :Follows relationship
            match (s:Section {id:secid}) with s,subscription_item
            merge (n:User {id: subscription_item.user_id})
            merge (n)-[:Follows {subscribed_on: subscription_item.created_at}]->(s)
            with subscription_item.user_id as s_userid
            CALL apoc.load.jsonParams(""https://your_domain.zendesk.com/api/v2/users/""+s_userid+"".json"",{Authorization:""Basic base64Encoded_username:password""},null)
                 yield value as userRecord
               with userRecord, s_userid
               unwind userRecord.user as uid
               match (n:User {id:s_userid})
               set
                     n.name=uid.name,
                     n.email=uid.email,
                     n.created_at=uid.created_at,
                     n.last_login=uid.last_login_at,
                     n.url=uid.url;

match (n:User) where exists(n.organization_id)
      with n,n.organization_id as organization_id
      CALL apoc.load.jsonParams(""https://your_domain.zendesk.com/api/v2/organizations/""+organization_id+"".json"",{Authorization:""Basic base64Encoded_username:password""},null)
      yield value as orgRecord
      unwind orgRecord.organization as orgid
      with n,orgid
      merge (o:Organization {id: orgid.id, name: orgid.name, created_at: orgid.created_at})
      merge (n)-[:IS_MEMBER_OF_ORG]->(o); | match     (n:Section) 
return     n.name,
           size (  (n)<-[:Follows]-() ) as subscribers
order by   subscribers desc;",articles\modules\ROOT\pages\using-apoc-load-jsonparams-to-load-data-from-zendesk-into-neo4j-to-learn-about-article-subscribers.adoc,1,high,,
285,Using APOC to parse JSON results from Trello API,"Prior to Neo4j 3.0, if you wanted to parse the JSON results from a call to a Web API, it would require you use one of the",cypher,"WITH ""https://api.trello.com/1/member/me/actions?filter=createCard&limit=1000&key=00981709d8fa49b9fb3c66f41178c14h&token=06128ee9bb10787d6fdee4942c12b5de5f39be11794fcb0604e072e1940475e2"" AS url
CALL apoc.load.json(url) YIELD value AS action
WITH action, action.memberCreator AS m, action.data AS d
MERGE (u:User {id:m.id}) ON CREATE SET u.initials = m.initials, u.name = m.fullname, u.user = m.username
MERGE (b:Board {id: d.board.id}) ON CREATE SET b = d.board
MERGE (c:Card {id: d.card.id}) ON CREATE SET c = d.card
MERGE (u)-[r:CREATED]->(c) ON CREATE SET r.id = action.id, r.date_created=apoc.date.parse(action.date,'s',""yyyy-MM-dd'T'HH:mm:ss'Z'"")
MERGE (c)-[:IN_BOARD]->(b)
RETURN count(*); | MATCH (u:User)-[r:CREATED]->(c:Card)-[r2:IN_BOARD]->(b:Board) 
RETURN u.user AS Author, r.date_created,c.name AS CardName ,b.name AS BoardName",articles\modules\ROOT\pages\using-apoc-to-parse-json-results-from-trello-api.adoc,1,high,,
286,Using apt to download a specific Neo4j debian package,"By default, using `apt-get` to install Neo4j allows you to grab the current and previous stable releases.",security,,articles\modules\ROOT\pages\using-apt-get-to-download-a-specific-neo4j-debian-package.adoc,1,low,,
287,Using AWS CLI to upload/download files to Amazon S3 bucket,If one has installed the https://docs.aws.amazon.com/cli/latest/userguide/cli-chap-install.html[AWS CLI],security,,articles\modules\ROOT\pages\using-aws-cli-to-upload-download-files-to-amazon-s3-buck.adoc,1,medium,,
288,Using Cypher and APOC to move a property value to a label,Commencing with Neo4j 3.0 and the introduction of stored procedures as well as link:https://github.com/neo4j-contrib/neo4j-apoc-procedures[APOC^] one can utilize the stored procedure link:https://neo4,cypher,"// create a node with property studio
create (n:Movies {name: 'A Few Good Men', studio: 'Warner Brothers'}) | // move the 'studio' property to a label and remove it as a property
MATCH (n:Movies) 
call apoc.create.addLabels([ id(n) ], [ n.studio ]) yield node 
with node 
remove node.studio
return node",articles\modules\ROOT\pages\using-cypher-and-apoc-to-move-a-property-value-to-a-label.adoc,1,high,,
289,Using Cypher to generate Cypher statements to recreate indexes and constraints,The following can be used to extract index definitions and constraint definitions from an existing database and the resultant,cypher,"// create a schema index on :Movie(title)
// 4.0 syntax
create index movieTitles for (n:Movies) on (n.title); 
//
// or 3.x syntax and a schema index on :Person(name)
create index on :Person(name);
//
// create a constraint on :Movie such that no 2 Movies have the same tagline
create constraint on (n:Movie) assert (n.tagline) is unique; | neo4j> call db.indexes();
+",articles\modules\ROOT\pages\using-cypher-to-generate-cypher-statements-to-recreate-indexes-and-constraints.adoc,1,high,,
290,Using Cypher to generate Cypher statements to recreate Users and Roles,The following can be used to extract user and role definitions from an existing database and the resultant output can be played,cypher,"//export roles
return '//export Roles' as output
union all
call dbms.security.listRoles() yield role return 'call dbms.security.createRole(\'' + role + '\');' as output
union all 
//export users
return '//export Users' as output
union all
call dbms.security.listUsers() yield username return 'call dbms.security.createUser(\'' + username + '\',\'newpassword\');' as output
union all
// export user to role maps
return '//export Roles to User map' as output
union all
call dbms.security.listRoles() yield role,users with role,users unwind users as user return 'call dbms.security.addRoleToUser(\'' + role + '\',' + user + '\');'  as output | //export Roles
call dbms.security.createRole('reader');
call dbms.security.createRole('architect');
call dbms.security.createRole('admin');
call dbms.security.createRole('publisher');
//export Users
call dbms.security.createUser('neo4j_dba','newpassword');
call dbms.security.createUser('neo4j','newpassword');
//export Roles to User map
call dbms.security.addRoleToUser('admin',neo4j');
call dbms.security.addRoleToUser('admin',neo4j_dba');",articles\modules\ROOT\pages\using-cypher-to-generate-cypher-statements-to-recreate-users-and-roles.adoc,1,high,,
291,Using explicit indexes for text search,Please note that in Neo4j 3.5 FullText search is available in Neo4j as part of Cypher stored procedures. More documentation is found here:,cypher,"match (n:Movie) 
with n
call db.index.explicit.addNode(""MovieTitle"",n,""title"",n.title) yield success return count(*) | call db.index.explicit.list",articles\modules\ROOT\pages\using-explicit-indexes-for-text-search-in-neo4j.adoc,1,high,,
292,Using max() and min() while keeping items,"The aggregation functions of `max()` and `min()` are very useful, but you can sometimes find yourself fighting against Cypher's aggregation behavior for cases that should be simple.",cypher,"(:Person {name})-[:BOUGHT]->(:FoodItem {name}) | MATCH (person:Person)-[:BOUGHT]->(food:FoodItem)
WITH person, food, count(food) as timesBought
RETURN person, max(timesBought) as mostBoughtCount",articles\modules\ROOT\pages\using-max-and-min-while-keeping-items.adoc,1,high,,
293,Access to the neo4j-shell in NEO4J CE 3.x,From Neo4j 3.0 access to `neo4j-shell` is no longer possible from the desktop-installers for Windows and OSX.,cypher,,articles\modules\ROOT\pages\using-neo4j-shell-neo4j-ce-3x.adoc,1,medium,,
294,Using Python 1.7.x Driver with Neo4j 4.0,At the time of writing this article the Bolt Driver for Python has not been released for Neo4j 4.0.,security,,articles\modules\ROOT\pages\using-python-with-neo4j-ver4-0.adoc,1,medium,,
295,Using Subqueries to Control the Scope of Aggregations,"Aggregations, such as collect() and count(), show up as `EagerAggregation` operators (with dark blue headers) in query plans.",cypher,"MATCH (movie:Movie)<-[:ACTED_IN]-(p:Person)
RETURN movie, collect(p) as actors | CALL apoc.periodic.iterate(""
UNWIND range(1,1000000) as id
RETURN id
"",
""
CREATE (m:Movie {id:id})
CREATE (p:Person {id:id})
"", {}) YIELD batches, total, errorMessages
RETURN batches, total, errorMessages",articles\modules\ROOT\pages\using-subqueries-to-control-the-scope-of-aggregations.adoc,1,high,,
296,Using supervisord to manage Neo4j process,"In general, running the neo4j process directly is the most common way to start and stop the neo4j server.",security,,articles\modules\ROOT\pages\using-supervisord-to-manage-neo4j-process.adoc,1,medium,,
297,Using the ACTUAL data type with neo4j-import,"When importing data using `neo4j-admin import`, make sure to review the required CSV file structure and considerations before moving on.",security,,articles\modules\ROOT\pages\using-the-actual-data-type-with-neo4j-import.adoc,1,low,,
298,Viewing schema data with APOC Procedures,APOC Procedures offers https://neo4j.com/labs/apoc/4.4/overview/apoc.meta/[meta procedures] to view information,modeling,"CALL apoc.meta.schema() YIELD value as schemaMap
UNWIND keys(schemaMap) as label
WITH label, schemaMap[label] as data
WHERE data.type = ""node""
UNWIND keys(data.properties) as property
WITH label, property, data.properties[property] as propData
RETURN label,
property,
propData.type as type, 
propData.indexed as isIndexed,
propData.unique as uniqueConstraint, 
propData.existence as existenceConstraint | CALL apoc.meta.schema() yield value
UNWIND apoc.map.sortedProperties(value) as labelData
WITH labelData[0] as label, labelData[1] as data
WHERE data.type = ""node""
UNWIND apoc.map.sortedProperties(data.properties) as property
WITH label, property[0] as property, property[1] as propData
RETURN label, 
property, 
propData.type as type, 
propData.indexed as isIndexed, 
propData.unique as uniqueConstraint, 
propData.existence as existenceConstraint",articles\modules\ROOT\pages\viewing-schema-data-with-apoc.adoc,1,high,,
299,Warm the cache to improve performance from cold start,*Note:* For 3.5.x forward the details below are no longer applicable as Neo4j will keep record of what is in the pagecache at all times and upon restart of Neo4j the,performance,"MATCH (n)
OPTIONAL MATCH (n)-[r]->() 
RETURN count(n.prop) + count(r.prop); | CALL apoc.warmup.run()",articles\modules\ROOT\pages\warm-the-cache-to-improve-performance-from-cold-start.adoc,1,high,,
300,What Works with the BI Connector,This article provides an overview of what third-party applications to expect the BI connector work with.,security,,articles\modules\ROOT\pages\what-works-with-the-bi-connector.adoc,1,medium,,
301,"When authentication is enabled in Neo4j, how do I call the HA Status",REST API without a username/password,security,,articles\modules\ROOT\pages\when-authentication-is-enabled-in-neo4j-how-do-i-call-the-ha-status-rest-api-without-a-username-password.adoc,1,low,,
302,When to use bookmarks,Bookmarks are part of a broader topic: *Causal consistency*.,security,,articles\modules\ROOT\pages\when-to-use-bookmarks.adoc,1,low,,
303,Where is my neo4j.log in Ubuntu Linux?,"In most Neo4j server environments, all logs will be found in *NEO4J_HOME/logs*. However, when Neo4j is running as a service on a Ubuntu (debian)",security,,articles\modules\ROOT\pages\where-is-my-neo4jlog-in-ubuntu-linux.adoc,1,low,,
304,Why do my deleted property keys appear?,When using the Neo4j Browser and selecting the left frame and top icon entitled `Database Information` or using the built in,security,,articles\modules\ROOT\pages\why-do-my-deleted-property-keys-appear.adoc,1,medium,,
305,Why does my CREATE CONSTRAINT take so long to complete,"When creating a constraint, for example",cypher,"CREATE CONSTRAINT ON (n:ZipCode) ASSERT n.name IS UNIQUE; | Begin
create (n:ZipCode {name:'94401'}) return n;",articles\modules\ROOT\pages\why-does-my-create-constraint-take-so-long-to-complete.adoc,1,low,,
306,Why doesn't my WHERE clause work?,It can be frustrating when it seems like a WHERE clause isn't working.,cypher,"MATCH (m:Movie)
OPTIONAL MATCH (m)<-[:WORKED_ON]-(a:Animator)
WHERE m.releaseYear > 1999 AND a IS NOT NULL
RETURN m, collect(a) as animators | MATCH (m:Movie)
OPTIONAL MATCH (m)<-[:WORKED_ON]-(a:Animator)
WITH m, a
WHERE m.releaseYear > 1999 AND a IS NOT NULL
RETURN m, collect(a) as animators",articles\modules\ROOT\pages\why-where-clause-does-not-filter.adoc,1,high,,
307,Will execution_guard_enabled work in my release of Neo4j?,*Background*,security,,articles\modules\ROOT\pages\will-execution-guard-enabled-work-in-my-release-of-neo4j.adoc,1,low,,
308,Working with streaks in Cypher,"When using Cypher for data analysis, you might have a problem where you need to identify or filter based upon some kind of streak.",cypher,"WITH [true, false, true, false, true, true, true, true, false, false, false, true, true] as games
CALL apoc.coll.split(games, false) YIELD value
RETURN value | WITH [true, false, true, false, true, true, true, true, false, false, false, true, true] as games
CALL apoc.coll.split(games, false) YIELD value as winStreak
RETURN max(size(winStreak)) as longestWinStreak",articles\modules\ROOT\pages\working-with-streaks-in-cypher.adoc,1,high,,
309,Avoiding unintended cartesian products,Multiple disconnected MATCH clauses create a cartesian product of all matched rows. Always connect MATCH patterns or use WITH to scope variables. Instead of separate MATCH clauses for unrelated patter,cypher,"MATCH (a:Person)-[:ACTED_IN]->(m:Movie)
WITH a, collect(m) AS movies
MATCH (d:Director)-[:DIRECTED]->(m2:Movie)
WHERE m2 IN movies
RETURN a.name, d.name",curated/error_recovery,2,high,,
310,Fixing type mismatch in WHERE clauses,"Cypher is type-strict in comparisons. Comparing a string property to an integer literal returns no results silently. Use toInteger(), toFloat(), or toString() to coerce types. Check property types whe",cypher,"MATCH (p:Product)
WHERE toFloat(p.price) > $minPrice
RETURN p.name, p.price",curated/error_recovery,2,high,,
311,Eager aggregation invalidates bindings,"Aggregation functions (count, collect, sum) in RETURN or WITH consume all previous bindings except the grouping keys. If you need to reference non-grouped variables after aggregation, include them in ",cypher,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WITH p, count(m) AS movie_count
MATCH (p)-[:DIRECTED]->(d:Movie)
RETURN p.name, movie_count, collect(d.title) AS directed",curated/error_recovery,2,high,,
312,Using UNWIND for list parameters,"When passing a list parameter to match multiple values, use UNWIND $list AS item before MATCH. Writing WHERE n.id IN $ids works for simple lookups but UNWIND is required when each list item needs its ",cypher,"UNWIND $names AS name
MATCH (p:Person {name: name})-[:ACTED_IN]->(m:Movie)
RETURN name, collect(m.title) AS movies",curated/error_recovery,2,high,,
313,Relationship direction matters for query results,"Neo4j relationships are always directional. A query with (a)-[:KNOWS]->(b) will not match (a)<-[:KNOWS]-(b). If direction does not matter, use undirected pattern (a)-[:KNOWS]-(b). When a query returns",cypher,"MATCH (a:Person)-[:KNOWS]-(b:Person)
WHERE a.name = $name
RETURN b.name",curated/error_recovery,2,high,,
314,Use RANGE indexes for equality and range queries,"RANGE indexes (the default in Neo4j 5.x) support equality, range comparisons, IN, STARTS WITH, and existence checks. Create RANGE indexes on properties used in WHERE clauses. For composite lookups, cr",performance,"CREATE INDEX product_category_price IF NOT EXISTS FOR (p:Product) ON (p.category, p.price)",curated/index_guidance,2,high,,
315,Use TEXT indexes for CONTAINS and regex queries,"RANGE indexes do not support CONTAINS or regular expression queries. Create a TEXT index when your queries use CONTAINS, ENDS WITH, or regex matching with =~. TEXT indexes are backed by Lucene and han",performance,CREATE TEXT INDEX article_content IF NOT EXISTS FOR (a:Article) ON (a.content),curated/index_guidance,2,high,,
316,Use VECTOR indexes for embedding similarity search,"Neo4j 5.11+ supports native vector indexes for cosine, euclidean, or dot-product similarity. Store embeddings as float arrays on nodes and create a vector index with the correct dimensions. Use db.ind",performance,"CREATE VECTOR INDEX article_embedding IF NOT EXISTS FOR (a:Article) ON (a.embedding) OPTIONS {indexConfig: {`vector.dimensions`: 384, `vector.similarity_function`: 'cosine'}}",curated/index_guidance,2,high,,
317,Composite indexes for multi-property lookups,"When queries frequently filter on two or more properties of the same label, create a composite index. The order of properties matters: put the most selective property first. Composite indexes support ",performance,"CREATE INDEX order_status_date IF NOT EXISTS FOR (o:Order) ON (o.status, o.created_at)",curated/index_guidance,2,high,,
318,When NOT to create an index,Do not index low-cardinality properties like booleans: the index scan returns too many rows to be useful. Do not index properties only used in RETURN but never in WHERE. Each index adds write overhead,performance,PROFILE MATCH (p:Product) WHERE p.category = $cat RETURN p,curated/index_guidance,2,high,,
